record_id_document,document_symbol_found,lang_field,doc_url,date_document
1310279.0,E/2017/SR.43,English,https://digitallibrary.un.org/record/1310279/files/E_2017_SR-43-EN.pdf,2017-07-17
1291459.0,S/PV.8006,English,https://digitallibrary.un.org/record/1291459/files/S_PV.8006-EN.pdf,2017-07-19
1304524.0,A/71/PV.98,English,https://digitallibrary.un.org/record/1304524/files/A_71_PV.98-EN.pdf,2017-09-11
1304528.0,A/72/PV.1,English,https://digitallibrary.un.org/record/1304528/files/A_72_PV.1-EN.pdf,2017-09-12
1305714.0,A/72/PV.3,English,https://digitallibrary.un.org/record/1305714/files/A_72_PV.3-EN.pdf,2017-09-19
1304967.0,S/PV.8051,English,https://digitallibrary.un.org/record/1304967/files/S_PV.8051-EN.pdf,2017-09-20
1470291.0,A/72/PV.24,English,http://digitallibrary.un.org/record/1470291/files/A_72_PV-24-EN.pdf,2017-09-27
1305675.0,S/PV.8060,English,https://digitallibrary.un.org/record/1305675/files/S_PV-8060-EN.pdf,2017-09-28
1627943.0,A/C.5/72/SR.4,English,https://digitallibrary.un.org/record/1627943/files/A_C-5_72_SR-4-EN.pdf,2017-10-11
1307262.0,S/PV.8069,English,https://digitallibrary.un.org/record/1307262/files/S_PV.8069-EN.pdf,2017-10-12
1311815.0,S/PV.8080,English,https://digitallibrary.un.org/record/1311815/files/S_PV-8080-EN.pdf,2017-10-30
1312084.0,S/PV.8082,English,https://digitallibrary.un.org/record/1312084/files/S_PV.8082-EN.pdf,2017-10-31
1322714.0,S/PV.8106,English,https://digitallibrary.un.org/record/1322714/files/S_PV-8106-EN.pdf,2017-11-17
1324177.0,S/PV.8111,English,https://digitallibrary.un.org/record/1324177/files/S_PV.8111-EN.pdf,2017-11-21
1627521.0,A/C.5/72/SR.19,English,http://digitallibrary.un.org/record/1627521/files/A_C-5_72_SR-19-EN.pdf,2017-12-04
1327205.0,S/PV.8137,English,https://digitallibrary.un.org/record/1327205/files/S_PV-8137-EN.pdf,2017-12-15
1328029.0,S/PV.8144,English,https://digitallibrary.un.org/record/1328029/files/S_PV-8144-EN.pdf,2017-12-20
3846080.0,S/PV.8160,English,https://digitallibrary.un.org/record/3846080/files/S_PV-8160-EN.pdf,2018-01-18
1466773.0,S/PV.8162,English,https://digitallibrary.un.org/record/1466773/files/S_PV.8162-EN.pdf,2018-01-19
1473548.0,S/PV.8183,English,https://digitallibrary.un.org/record/1473548/files/S_PV-8183-EN.pdf,2018-02-20
1473619.0,S/PV.8185,English,https://digitallibrary.un.org/record/1473619/files/S_PV-8185-EN.pdf,2018-02-21
1627963.0,E/2018/SR.9,English,https://digitallibrary.un.org/record/1627963/files/E_2018_SR-9-EN.pdf,2018-02-27
1477124.0,S/PV.8201,English,https://digitallibrary.un.org/record/1477124/files/S_PV-8201-EN.pdf,2018-03-12
1481848.0,A/72/PV.79,English,https://digitallibrary.un.org/record/1481848/files/A_72_PV-79-EN.pdf,2018-03-20
1485594.0,A/72/PV.80,English,https://digitallibrary.un.org/record/1485594/files/A_72_PV-80-EN.pdf,2018-03-26
1480402.0,S/PV.8218,English,https://digitallibrary.un.org/record/1480402/files/S_PV.8218-EN.pdf,2018-03-28
1483270.0,S/PV.8231,English,https://digitallibrary.un.org/record/1483270/files/S_PV.8231-EN.pdf,2018-04-13
1483365.0,S/PV.8233,English,https://digitallibrary.un.org/record/1483365/files/S_PV.8233-EN.pdf,2018-04-14
1628838.0,A/72/PV.83,English,https://digitallibrary.un.org/record/1628838/files/A_72_PV.83-EN.pdf,2018-04-24
1484888.0,S/PV.8243,English,https://digitallibrary.un.org/record/1484888/files/S_PV-8243-EN.pdf,2018-04-25
1627986.0,S/PV.8264,English,https://digitallibrary.un.org/record/1627986/files/S_PV-8264-EN.pdf,2018-05-22
589589.0,S/PV.5607,English,https://digitallibrary.un.org/record/589589/files/S_PV-5607-EN.pdf,2006-12-22
589009.0,A/61/PV.78,English,https://digitallibrary.un.org/record/589009/files/A_61_PV.78-EN.pdf,2006-12-14
588630.0,S/PV.5584,English,https://digitallibrary.un.org/record/588630/files/S_PV.5584-EN.pdf,2006-12-12
587460.0,S/PV.5573,English,https://digitallibrary.un.org/record/587460/files/S_PV.5573-EN.pdf,2006-11-28
592616.0,A/C.5/61/SR.12,English,https://digitallibrary.un.org/record/592616/files/A_C.5_61_SR.12-EN.pdf,2006-10-30
584759.0,A/61/PV.31,English,https://digitallibrary.un.org/record/584759/files/A_61_PV.31-EN.pdf,2006-10-13
583113.0,S/PV.5529,English,https://digitallibrary.un.org/record/583113/files/S_PV.5529-EN.pdf,2006-09-20
583257.0,A/61/PV.10,English,https://digitallibrary.un.org/record/583257/files/A_61_PV.10-EN.pdf,2006-09-19
